symbol,industry
ARMANFIN,Non Banking Financial Company (NBFC)
AROGRANITE,Granites & Marbles
ARROWGREEN,Packaging
ARSSBL,Unknown
ARTEMISMED,Hospital
ARTNIRMAN,"Residential, Commercial Projects"
ARUNAYA,Unknown
ARVEE,Specialty Chemicals
ARVIND,Garments & Apparels
ARVINDFASN,Speciality Retail
ARVINDPORT,Unknown
ARVSMART,"Residential, Commercial Projects"
ASAHIINDIA,Auto Components & Equipments
ASAHISONG,Dyes And Pigments
ASAL,Auto Components & Equipments
ASALCBR,Breweries & Distilleries
ASCOM,Unknown
ASHALOG,Unknown
ASHAPURMIN,Industrial Minerals
ASHIANA,"Residential, Commercial Projects"
ASHIMASYN,Other Textile Products
ASHOKA,Civil Construction
ASHOKAMET,Trading - Metals
ASHOKLEY,Commercial Vehicles
ASIANENE,Oil Equipment & Services
ASIANHOTNR,Hotels & Resorts
ASIANPAINT,Paints
ASIANTILES,Ceramics
ASKAUTOLTD,Auto Components & Equipments
ASLIND,Unknown
ASMS,IT Enabled Services
ASPINWALL,Logistics Solution Provider
ASTEC,Pesticides & Agrochemicals
ASTERDM,Hospital
ASTRAL,Plastic Products - Industrial
ASTRAMICRO,Aerospace & Defense
ASTRAZEN,Pharmaceuticals
ASTRON,Paper & Paper Products
ATALREAL,"Residential, Commercial Projects"
ATAM,Industrial Products
ATCENERGY,Unknown
ATGL,LPG/CNG/PNG/LNG Supplier
ATHERENERG,2/3 Wheelers
ATL,Port & Port services
ATLANTAA,Civil Construction
ATLANTAELE,Unknown
ATLASCYCLE,Cycles
ATMASTCO,Unknown
ATUL,Specialty Chemicals
ATULAUTO,Commercial Vehicles
AUBANK,Other Bank
AURIGROW,Unknown
AURIONPRO,Computers - Software & Consulting
AUROIMPEX,Unknown
AUROPHARMA,Pharmaceuticals
AURUM,IT Enabled Services
AUSL,Unknown
AUSOMENT,"Gems, Jewellery And Watches"
AUTOAXLES,Auto Components & Equipments
AUTOBEES,ETF
AUTOIETF,ETF
AUTOIND,Auto Components & Equipments
AVADHSUGAR,Sugar
AVALON,Other Electrical Equipment
AVANTEL,Aerospace & Defense
AVANTIFEED,Animal Feed
AVG,Logistics Solution Provider
AVIANSH,Unknown
AVL,Speciality Retail
AVONMORE,Non Banking Financial Company (NBFC)
AVPINFRA,Unknown
AVROIND,Plastic Products - Consumer
AVTNPL,Other Agricultural Products
AWFIS,Diversified Commercial Services
AWHCL,Waste Management
AWL,Edible Oil
AXISBANK,Private Sector Bank
AXISBNKETF,ETF
AXISBPSETF,ETF
AXISCADES,Aerospace & Defense
AXISCETF,ETF
AXISGOLD,ETF
AXISHCETF,ETF
AXISILVER,ETF
AXISNIFTY,ETF
AXISTECETF,ETF
AXISVALUE,ETF
AXITA,Other Textile Products
AXSENSEX,ETF
AYMSYNTEX,Other Textile Products
AZAD,Heavy Electrical Equipment
BABAFP,Unknown
BAFNAPH,Pharmaceuticals
BAGDIGITAL,Unknown
BAGFILMS,TV Broadcasting & Software Production
BAHETI,Unknown
BAIDFIN,Non Banking Financial Company (NBFC)
BAJAJ-AUTO,Unknown
BAJAJCON,Personal Care
BAJAJELEC,Household Appliances
BAJAJFINSV,Holding Company
BAJAJHCARE,Pharmaceuticals
BAJAJHFL,Housing Finance Company
BAJAJHIND,Sugar
BAJAJHLDNG,Holding Company
BAJAJINDEF,Industrial Products
BAJEL,Heavy Electrical Equipment
BAJFINANCE,Non Banking Financial Company (NBFC)
BALAJEE,Packaging
BALAJIPHOS,Unknown
BALAJITELE,Media & Entertainment
BALAMINES,Specialty Chemicals
BALAXI,Pharmaceuticals
BALKRISHNA,Paper & Paper Products
BALKRISIND,Tyres & Rubber Products
BALMLAWRIE,Diversified
BALPHARMA,Pharmaceuticals
BALRAMCHIN,Sugar
BALUFORGE,Castings & Forgings
BANARBEADS,"Gems, Jewellery And Watches"
BANARISUG,Sugar
BANCOINDIA,Auto Components & Equipments
BANDHANBNK,Private Sector Bank
BANG,Garments & Apparels
BANKA,Civil Construction
BANKADD,Unknown
BANKBARODA,Public Sector Bank
BANKBEES,ETF
BANKBETF,ETF
BANKETF,ETF
BANKIETF,ETF
BANKINDIA,Public Sector Bank
BANKNIFTY1,ETF
BANKPSU,Unknown
BANSALWIRE,Iron & Steel Products
BANSWRAS,Other Textile Products
BARFLEX,Unknown
BASF,Specialty Chemicals
BASILIC,Unknown
BASML,Other Textile Products
BATAINDIA,Footwear
BAWEJA,Unknown
BAYERCROP,Pesticides & Agrochemicals
BBETF0432,ETF
BBL,Other Electrical Equipment
BBNPNBETF,ETF
BBNPPGOLD,ETF
BBOX,IT Enabled Services
BBTC,Packaged Foods
BBTCL,Packaging
BCG,IT Enabled Services
BCLIND,Breweries & Distilleries
BCONCEPTS,Speciality Retail
BDL,Aerospace & Defense
BEACON,Unknown
BEARDSELL,Other Industrial Products
BECTORFOOD,Packaged Foods
BEDMUTHA,Iron & Steel Products
BEL,Aerospace & Defense
BELLACASA,Garments & Apparels
BELRISE,Auto Components & Equipments
BEML,Construction Vehicles
BEPL,Specialty Chemicals
BERGEPAINT,Paints
BESTAGRO,Pesticides & Agrochemicals
BETA,Unknown
BEWLTD,Unknown
BFINVEST,Holding Company
BFSI,ETF
BGRENERGY,Civil Construction
BHADORA,Unknown
BHAGCHEM,Pesticides & Agrochemicals
BHAGERIA,Dyes And Pigments
BHAGYANGR,Copper
BHANDARI,Other Textile Products
BHARATFORG,Auto Components & Equipments
BHARATGEAR,Auto Components & Equipments
BHARATRAS,Pesticides & Agrochemicals
BHARATSE,Auto Components & Equipments
BHARATWIRE,Iron & Steel Products
BHARTIARTL,Telecom - Cellular & Fixed line services
BHARTIHEXA,Telecom - Cellular & Fixed line services
BHEL,Heavy Electrical Equipment
BIGBLOC,Cement & Cement Products
BIKAJI,Packaged Foods
BIL,Leather And Leather Products
BILVYAPAR,Unknown
BIOCON,Pharmaceuticals
BIOFILCHEM,Pharmaceuticals
BIRDYS,Unknown
BIRET,Unknown
BIRLACABLE,Telecom -  Equipment & Accessories
BIRLACORPN,Cement & Cement Products
BIRLAMONEY,Stockbroking & Allied
BIRLANU,"Furniture, Home Furnishing"
BLACKBUCK,Transport Related Services
BLAL,Investment Company
BLBLIMITED,Investment Company
BLISSGVS,Pharmaceuticals
BLKASHYAP,Civil Construction
BLS,"Tour, Travel Related Services"
BLSE,IT Enabled Services
BLUECHIP,Investment Company
BLUECOAST,Hotels & Resorts
BLUEDART,Logistics Solution Provider
BLUEJET,Pharmaceuticals
BLUEPEBBLE,Unknown
BLUESTARCO,Household Appliances
BLUESTONE,Unknown
BLUEWATER,Unknown
BLUSPRING,Diversified Commercial Services
BMWVENTLTD,Unknown
BODALCHEM,Dyes And Pigments
BOHRAIND,Fertilizers
BOMDYEING,Other Textile Products
BORANA,Other Textile Products
BOROLTD,Houseware
BORORENEW,Glass - Industrial
BOROSCI,Glass - Industrial
BOSCHLTD,Auto Components & Equipments
BPCL,Refineries & Marketing
BPL,Consumer Electronics
BRACEPORT,Unknown
BRIGADE,"Residential, Commercial Projects"
BRIGHOTEL,Hotels & Resorts
BRITANNIA,Packaged Foods
BRNL,Civil Construction
BROOKS,Pharmaceuticals
BSE,Exchange and Data Platform
BSE500IETF,ETF
BSHSL,Other Agricultural Products
BSL,Other Textile Products
BSLGOLDETF,ETF
BSLNIFTY,ETF
BSLSENETFG,ETF
BSOFT,Computers - Software & Consulting
BTML,Digital Entertainment
BUTTERFLY,Household Appliances
BVCL,Cement & Cement Products
BYKE,Hotels & Resorts
C2C,Unknown
CADSYS,Unknown
CALSOFT,Computers - Software & Consulting
CAMLINFINE,Specialty Chemicals
CAMPUS,Footwear
CAMS,"Depositories, Clearing Houses and Other Intermediaries"
CANARYS,Unknown
CANBK,Public Sector Bank
CANFINHOME,Housing Finance Company
CANHLIFE,Unknown
CANTABIL,Garments & Apparels
CAPACITE,Civil Construction
CAPILLARY,Unknown
CAPINVIT,Unknown
CAPITALSFB,Other Bank
CAPLIPOINT,Pharmaceuticals
CAPTRUST,Non Banking Financial Company (NBFC)
CARBORUNIV,Abrasives & Bearings
CARERATING,Ratings
CARRARO,Auto Components & Equipments
CARTRADE,E-Retail/ E-Commerce
CARYSIL,Household Appliances
CASHIETF,ETF
CASTROLIND,Lubricants
CCCL,"Residential, Commercial Projects"
CCHHL,Hotels & Resorts
CCL,Tea & Coffee
CDSL,"Depositories, Clearing Houses and Other Intermediaries"
CEATLTD,Tyres & Rubber Products
CEDAAR,Unknown
CEIGALL,Civil Construction
CELEBRITY,Garments & Apparels
CELLECOR,Unknown
CELLO,Houseware
CELLPOINT,Unknown
CEMPRO,Unknown
CENTENKA,Other Textile Products
CENTEXT,"Aluminium, Copper & Zinc Products"
CENTRALBK,Public Sector Bank
CENTRUM,Other Financial Services
CENTUM,Industrial Products
CENTURYPLY,Plywood Boards/ Laminates
CERA,Sanitary Ware
CESC,Integrated Power Utilities
CEWATER,Waste Management
CGCL,Non Banking Financial Company (NBFC)
CGPOWER,Unknown
CGRAPHICS,Unknown
CHALET,Hotels & Resorts
CHAMBLFERT,Fertilizers
CHAMUNDA,Unknown
CHANDAN,Unknown
CHAVDA,Unknown
CHEMBOND,Specialty Chemicals
CHEMBONDCH,Unknown
CHEMCON,Specialty Chemicals
CHEMFAB,Commodity Chemicals
CHEMICAL,Unknown
CHEMPLASTS,Commodity Chemicals
CHENNPETRO,Refineries & Marketing
CHETANA,Unknown
CHEVIOT,Jute & Jute Products
CHOICEGOLD,Unknown
CHOICEIN,Holding Company
CHOLAFIN,Non Banking Financial Company (NBFC)
CHOLAHLDNG,Investment Company
CIEINDIA,Auto Components & Equipments
CIFL,Non Banking Financial Company (NBFC)
CIGNITITEC,IT Enabled Services
CINELINE,"Film Production, Distribution & Exhibition"
CINEVISTA,Media & Entertainment
CIPLA,Pharmaceuticals
CLASSICEIL,Unknown
CLEAN,Specialty Chemicals
CLEDUCATE,Education
CLSEL,Other Agricultural Products
CMNL,Unknown
CMSINFO,Diversified Commercial Services
CNL,Unknown
COALINDIA,Coal
COASTCORP,Seafood
COCHINSHIP,Ship Building & Allied Services
COFFEEDAY,Restaurants
COFORGE,Computers - Software & Consulting
COHANCE,Pharmaceuticals
COLPAL,Personal Care
COMMOIETF,ETF
COMPUSOFT,Education
