Index,Date,Day,Advances,Declines,Up 4%,Down 4%,Up 25%,Down 25%,Up 50%,Down 50%,% Above 10 DMA,% Above 20 DMA,% Above 40 DMA,% 10 DMA > 20 DMA,% 20 DMA > 40 DMA,No. of stocks
NIFTY50,2025-11-24,Monday,12,37,0,0,0,0,0,0,44.9%,53.06%,51.02%,57.14%,63.27%,49
NIFTYNXT50,2025-11-24,Monday,8,42,0,1,0,0,0,0,14.0%,12.0%,28.0%,48.0%,46.0%,50
NIFTY200,2025-11-24,Monday,58,141,3,1,1,0,0,0,23.5%,34.0%,42.5%,47.5%,58.0%,200
NIFTY500,2025-11-24,Monday,154,342,11,13,3,3,0,1,21.73%,26.76%,34.41%,39.03%,51.31%,497
TOTAL,2025-11-24,Monday,217,526,18,37,4,10,1,4,20.3%,25.4%,30.65%,35.22%,46.51%,744
